,time,aX,aY,aZ,gX,gY,gZ
0,650,0.0,0.0,0.01,0.25,0.0,0.5
1,758,1.0,0.0,0.0,-0.5,0.333,0.0
2,871,1.0,0.0,0.0,0.0,0.667,-1.0
3,983,1.0,0.0,0.0,0.5,0.333,0.0
4,1096,0.0,-0.01,0.0,0.25,0.333,0.0
5,1208,1.0,0.0,0.0,-0.75,-2.056,0.0
6,1321,0.0,0.0,0.0,0.25,-1.0,-0.5
7,1433,0.0,0.0,0.0,0.75,0.0,0.0
8,1545,0.0,0.0,0.0,-0.75,-0.333,-2.0
9,1659,0.0,0.0,0.0,-1.042,0.0,1.0
10,1771,1.0,0.0,0.0,-0.75,0.333,1.5
11,1883,0.0,0.0,0.01,0.0,1.0,0.0
12,1996,0.0,0.0,0.0,-0.25,0.0,-1.5
13,2109,0.0,0.0,0.0,0.0,-0.333,1.0
14,2221,0.0,0.0,-0.01,12.708,-2.056,-1.0
15,2333,1.0,0.0,0.0,0.5,1.0,1.5
16,2446,0.0,-0.01,0.0,0.25,-0.667,-0.5
17,2558,0.0,0.0,0.0,-1.042,-1.0,0.5
18,2671,1.0,0.0,0.0,0.25,-0.667,0.5
19,2784,1.0,0.0,0.0,-1.792,-0.333,1.0
20,2896,1.0,0.0,0.0,-0.75,1.667,-0.5
